Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Ship Duration,Returned
41716,CA-2014-9640,4/7/2014,4/12/2014,Standard Class,AH-75,Adam Hart,Corporate,Oakville,Ontario,Canada,Canada,Canada,OFF-FEL-10001261,Office Supplies,Storage,"Fellowes File Cart, Blue",137.31,1,0,54.9,11.13,High,5,No
43099,CA-2014-6030,5/15/2014,5/15/2014,Same Day,AB-105,Adrian Barton,Consumer,Toronto,Ontario,Canada,Canada,Canada,OFF-STA-10003027,Office Supplies,Art,"Stanley Highlighters, Easy-Erase",29.94,2,0,10.74,5.81,High,0,No
43100,CA-2014-6030,5/15/2014,5/15/2014,Same Day,AB-105,Adrian Barton,Consumer,Toronto,Ontario,Canada,Canada,Canada,OFF-SAN-10004746,Office Supplies,Art,"Sanford Highlighters, Fluorescent",34.02,2,0,14.28,2.83,High,0,No
49151,CA-2012-7120,5/9/2012,5/13/2012,Standard Class,AS-135,Adrian Shami,Home Office,Edmonton,Alberta,Canada,Canada,Canada,OFF-ROG-10004393,Office Supplies,Storage,"Rogers Folders, Industrial",187.02,6,0,26.1,6.96,Medium,4,No
47228,CA-2013-9990,1/21/2013,1/21/2013,Same Day,AB-165,Alan Barnes,Consumer,Hamilton,Ontario,Canada,Canada,Canada,OFF-BIN-10000712,Office Supplies,Art,"Binney & Smith Canvas, Blue",410.88,8,0,78,59.79,High,0,No
42998,CA-2011-4850,8/9/2011,8/13/2011,Standard Class,AH-195,Alan Haines,Corporate,Waterloo,Ontario,Canada,Canada,Canada,OFF-AME-10002956,Office Supplies,Envelopes,"Ames Business Envelopes, Security-Tint",87.84,6,0,29.7,7.97,Medium,4,No
50791,CA-2013-1670,12/12/2013,12/16/2013,Standard Class,AS-225,Alan Schoenberger,Corporate,Regina,Saskatchewan,Canada,Canada,Canada,OFF-BOS-10003478,Office Supplies,Art,"Boston Markers, Fluorescent",27.63,1,0,4.14,2.65,High,4,No
43048,CA-2011-3390,9/21/2011,9/24/2011,Second Class,AS-240,Alan Shonely,Consumer,Vaughan,Ontario,Canada,Canada,Canada,OFF-SME-10004754,Office Supplies,Labels,"Smead Round Labels, Adjustable",4.8,1,0,1.44,0.35,Medium,3,No
50627,CA-2014-4930,11/18/2014,11/22/2014,Standard Class,AB-255,Alejandro Ballentine,Home Office,Whitby,Ontario,Canada,Canada,Canada,OFF-FEL-10001865,Office Supplies,Storage,"Fellowes File Cart, Wire Frame",272.76,2,0,57.24,23.65,Medium,4,No
50626,CA-2014-4930,11/18/2014,11/22/2014,Standard Class,AB-255,Alejandro Ballentine,Home Office,Whitby,Ontario,Canada,Canada,Canada,OFF-ADV-10003030,Office Supplies,Fasteners,"Advantus Staples, 12 Pack",10.29,1,0,0.72,0.7,Medium,4,No
