Returned,Order ID,Market,Customer Name,State,Country,Sub-Category,Product Name,Ship Duration
Yes,CA-2013-118311,United States,Emily Ducich,California,United States,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,4
Yes,CA-2012-150875,United States,Heather Kirkland,Idaho,United States,Tables,Bretford CR4500 Series Slim Rectangular Table,4
Yes,CA-2011-133690,United States,Bruce Stewart,Colorado,United States,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,2
Yes,CA-2013-157280,United States,Liz Willingham,Virginia,United States,Furnishings,"Tenex Chairmat w/ Average Lip, 45"" x 53""",2
Yes,CA-2012-111948,United States,Andrew Gjertsen,Michigan,United States,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",0
Yes,CA-2014-167003,United States,Vivek Sundaresam,California,United States,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",6
Yes,CA-2012-149636,United States,Stefania Perrino,Colorado,United States,Paper,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",6
Yes,CA-2014-154074,United States,Bart Watters,Washington,United States,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,2
Yes,CA-2014-166898,United States,Ken Heidel,California,United States,Phones,OtterBox Defender Series Case - Samsung Galaxy S4,2
Yes,CA-2011-102652,United States,Andy Yotov,California,United States,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,6
Yes,CA-2012-151547,United States,Amy Hunt,Tennessee,United States,Supplies,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",6
Yes,CA-2013-126529,United States,Deanra Eno,Ohio,United States,Paper,Xerox 1935,2
Yes,CA-2014-103380,United States,Barry Franz,California,United States,Phones,Mitel MiVoice 5330e IP Phone,4
Yes,CA-2013-105291,United States,Susan Pistek,California,United States,Fasteners,Assorted Color Push Pins,5
Yes,CA-2014-138163,United States,Xylona Preis,Massachusetts,United States,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,3
Yes,US-2013-114293,United States,Justin Hirsh,Oregon,United States,Chairs,Novimex Fabric Task Chair,5
Yes,CA-2012-141593,United States,Darren Budd,California,United States,Tables,"Bush Andora Conference Table, Maple/Graphite Gray Finish",2
Yes,CA-2011-108609,United States,Anthony Jacobs,Ohio,United States,Tables,Hon 94000 Series Round Tables,2
Yes,CA-2012-153220,United States,Yoseph Carroll,California,United States,Paper,"Adams ""While You Were Out"" Message Pads",2
Yes,CA-2014-123085,United States,Ed Jacobs,California,United States,Accessories,Imation Bio 2GB USB Flash Drive Imation Corp,5
Yes,CA-2012-112144,United States,Craig Yedwab,Arizona,United States,Furnishings,Electrix Halogen Magnifier Lamp,4
Yes,CA-2014-145772,United States,Saphhira Shifley,California,United States,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,4
Yes,CA-2011-169019,United States,Luke Foster,Texas,United States,Binders,GBC DocuBind P400 Electric Binding System,4
Yes,CA-2011-126522,United States,Larry Tron,California,United States,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",4
Yes,CA-2014-142867,United States,Philisse Overcash,Texas,United States,Paper,Xerox 1900,4
Yes,CA-2014-167395,United States,Kunst Miller,Massachusetts,United States,Phones,GE 30524EE4,2
Yes,CA-2012-149342,United States,Theresa Swint,Georgia,United States,Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",5
Yes,CA-2014-161557,United States,Arthur Gainer,Texas,United States,Furnishings,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,5
Yes,CA-2014-108931,United States,Henia Zydlo,New York,United States,Paper,Xerox 1980,5
Yes,CA-2014-154214,United States,Troy Blackwell,Indiana,United States,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",5
Yes,CA-2013-133802,United States,Stephanie Phelps,California,United States,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,6
Yes,CA-2014-101805,United States,Sally Hughsby,Washington,United States,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",5
Yes,CA-2012-104129,United States,Erin Smith,Rhode Island,United States,Tables,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",4
Yes,US-2013-108455,United States,Mike Kennedy,California,United States,Paper,HP Office Recycled Paper (20Lb. and 87 Bright),6
Yes,US-2013-131149,United States,Logan Haushalter,Texas,United States,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",4
Yes,CA-2013-159345,United States,Ivan Gibson,California,United States,Paper,Xerox 1934,5
Yes,CA-2013-116736,United States,Chuck Clark,New Hampshire,United States,Accessories,Logitech G19 Programmable Gaming Keyboard,4
Yes,CA-2011-160766,United States,Darrin Martin,New York,United States,Machines,Ativa V4110MDD Micro-Cut Shredder,0
Yes,CA-2014-143084,United States,Barry Pond,California,United States,Envelopes,Peel & Seel Envelopes,4
Yes,CA-2012-157770,United States,Rob Dowd,California,United States,Phones,Plantronics Voyager Pro Legend,2
Yes,CA-2012-113628,United States,Anna Häberlin,Florida,United States,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",7
Yes,CA-2013-145919,United States,Henry Goldwyn,California,United States,Supplies,Premier Electric Letter Opener,5
Yes,CA-2014-166093,United States,Rick Wilson,California,United States,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,7
Yes,CA-2011-127012,United States,Greg Matthias,Washington,United States,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",4
Yes,CA-2014-131492,United States,Hilary Holden,California,United States,Furnishings,"Linden 10"" Round Wall Clock, Black",5
Yes,CA-2013-118500,United States,Heather Jas,California,United States,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,1
Yes,CA-2014-119284,United States,Thomas Seio,Tennessee,United States,Phones,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),5
Yes,CA-2014-137414,United States,Chad McGuire,California,United States,Machines,Ricoh - Ink Collector Unit for GX3000 Series Printers,4
Yes,CA-2011-109918,United States,Lisa Ryan,California,United States,Binders,Avery Legal 4-Ring Binder,5
Yes,CA-2014-140151,United States,Raymond Buch,Washington,United States,Copiers,Canon imageCLASS 2200 Advanced Copier,2
Yes,CA-2012-142601,United States,Deanra Eno,California,United States,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",2
Yes,CA-2014-124401,United States,Ruben Dartt,Oregon,United States,Accessories,Logitech Wireless Marathon Mouse M705,5
Yes,CA-2013-152814,United States,Erica Hernandez,Colorado,United States,Paper,Xerox 1881,4
Yes,CA-2014-130631,United States,Bruce Stewart,Washington,United States,Furnishings,Hand-Finished Solid Wood Document Frame,4
Yes,CA-2012-119907,United States,Logan Currie,Washington,United States,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,7
Yes,CA-2011-123498,United States,Tamara Chand,Texas,United States,Envelopes,Staples,2
Yes,CA-2013-159023,United States,Natalie Webber,Oregon,United States,Machines,Okidata B401 Printer,2
Yes,CA-2014-129707,United States,Larry Hughes,Arizona,United States,Art,Newell 318,4
Yes,CA-2012-154970,United States,Steven Roelle,Washington,United States,Chairs,Global Deluxe Steno Chair,5
Yes,CA-2014-108294,United States,Lindsay Shagiari,Nebraska,United States,Binders,Ibico Covers for Plastic or Wire Binding Elements,0
Yes,US-2013-144057,United States,Cynthia Voltz,Texas,United States,Storage,"Hot File 7-Pocket, Floor Stand",4
Yes,US-2013-152051,United States,Theresa Swint,Pennsylvania,United States,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",4
Yes,CA-2012-119214,United States,Carl Weiss,Montana,United States,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",4
Yes,US-2014-103247,United States,Phillina Ober,New York,United States,Phones,Motorola HK250 Universal Bluetooth Headset,3
Yes,CA-2014-109085,United States,Christine Kargatis,Ohio,United States,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,3
Yes,CA-2013-126732,United States,Lena Radford,California,United States,Phones,Cisco Unified IP Phone 7945G VoIP phone,4
Yes,CA-2013-134803,United States,Clay Ludtke,California,United States,Machines,Okidata C331dn Printer,6
Yes,CA-2013-167759,United States,Craig Carreira,Indiana,United States,Phones,Plantronics Encore H101 Dual Earpieces Headset,5
Yes,CA-2014-131828,United States,Cari Sayre,Washington,United States,Chairs,"Global Leather and Oak Executive Chair, Black",2
Yes,CA-2012-140984,United States,Craig Carroll,New York,United States,Storage,Economy Rollaway Files,4
Yes,CA-2012-164882,United States,Sandra Glassco,California,United States,Phones,Polycom SoundStation2 EX Conference phone,0
Yes,US-2014-147998,United States,Sue Ann Reed,California,United States,Binders,GBC Twin Loop Wire Binding Elements,5
Yes,CA-2011-126403,United States,Rick Reed,Massachusetts,United States,Chairs,Global Italian Leather Office Chair,3
Yes,CA-2011-135657,United States,Steven Cartwright,Washington,United States,Tables,KI Adjustable-Height Table,4
Yes,CA-2011-134726,United States,Steven Ward,Washington,United States,Phones,Samsung Rugby III,5
